"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17517-28030","RB","Fitzgerald","","Toussaint","0.9636363983154297","11","4500","MIA@PIT","PIT","MIA","","","",""
"17517-21123","TE","Larry","","Donnell","2.857142857142857","7","4500","NYG@GB","NYG","GB","","","",""
"17517-25225","WR","Quinshad","","Davis","0","0","4500","DET@SEA","DET","SEA","","","",""
"17517-31378","WR","Kadron","","Boone","0","0","4500","NYG@GB","NYG","GB","","","",""
"17517-28311","TE","MarQueis","","Gray","3.049999952316284","8","4500","MIA@PIT","MIA","PIT","","","",""
"17517-29592","TE","Xavier","","Grimble","3.6624999046325684","8","4500","MIA@PIT","PIT","MIA","","","",""
"17517-62617","TE","Khari","","Lee","0","1","4500","DET@SEA","DET","SEA","","","",""
"17517-28570","TE","Nick","","Vannett","1.566666603088379","3","4500","DET@SEA","SEA","DET","","","",""
"17517-41370","WR","Trevor","","Davis","0.987500011920929","8","4500","NYG@GB","GB","NYG","","","",""
"17517-33691","RB","Orleans","","Darkwa","6.324999809265137","4","4500","NYG@GB","NYG","GB","IR","Lower leg","",""
"17517-62619","K","Andrew","","Franks","5.75","16","4500","MIA@PIT","MIA","PIT","","","",""
"17517-29084","WR","Rashad","","Ross","0.6499999761581421","2","4500","DET@SEA","DET","SEA","","","",""
"17517-62623","RB","John","","Crockett","1.0499999523162842","2","4500","NYG@GB","GB","NYG","IR","Shoulder","",""
"17517-22433","TE","Dominique","","Jones","3.1200000762939455","5","4500","MIA@PIT","MIA","PIT","","","",""
"17517-14245","RB","Shane","","Vereen","6.540000152587891","5","4500","NYG@GB","NYG","GB","IR","Triceps","",""
"17517-6567","TE","David","","Johnson","1.2272727272727273","11","4500","MIA@PIT","PIT","MIA","","","",""
"17517-22958","RB","Bobby","","Rainey","2.6909091255881568","11","4500","NYG@GB","NYG","GB","","","",""
"17517-34224","TE","Kennard","","Backman","0","7","4500","DET@SEA","DET","SEA","","","",""
"17517-31157","WR","Cobi","","Hamilton","3.990909229625355","11","4500","MIA@PIT","PIT","MIA","","","",""
"17517-79031","RB","Jacob","","Huesman","0","0","4500","NYG@GB","NYG","GB","","","",""
"17517-25783","RB","Mike","","James","2.0333333015441895","3","4500","DET@SEA","DET","SEA","","","",""
"17517-29624","RB","Tre","","Madden","0","0","4500","DET@SEA","SEA","DET","IR","Undisclosed","",""
"17517-29625","RB","George","","Farmer","0.5","2","4500","DET@SEA","SEA","DET","","","",""
"17517-33465","RB","Theo","","Riddick","13.530000305175781","10","4500","DET@SEA","DET","SEA","IR","Wrist","",""
"17517-14266","RB","Daniel","","Thomas","0","0","4500","MIA@PIT","MIA","PIT","","","",""
"17517-30652","WR","Tanner","","McEvoy","4.027500152587891","8","4500","DET@SEA","SEA","DET","","","",""
"17517-25789","WR","Rashawn","","Scott","0","0","4500","MIA@PIT","MIA","PIT","","","",""
"17517-26045","WR","Leonte","","Carroo","2.0799999237060547","5","4500","MIA@PIT","MIA","PIT","","","",""
"17517-30654","TE","Jerell","","Adams","2.720000076293945","10","4500","NYG@GB","NYG","GB","Q","Shoulder","",""
"17517-32703","WR","Jakeem","","Grant","0.3153846080486591","13","4500","MIA@PIT","MIA","PIT","","","",""
"17517-39615","TE","Brandon","","Williams","2.299999952316284","2","4500","DET@SEA","SEA","DET","","","",""
"17517-33472","RB","C.J.","","Prosise","8.75","6","4500","DET@SEA","SEA","DET","O","Shoulder","",""
"17517-6595","TE","Matt","","Spaeth","0.6666666666666666","3","4500","MIA@PIT","PIT","MIA","","","",""
"17517-26057","RB","Michael","","Burton","0","1","4500","DET@SEA","DET","SEA","","","",""
"17517-30412","WR","Tavarres","","King","2","3","4500","NYG@GB","NYG","GB","","","",""
"17517-40913","TE","Thomas","","Duarte","0","0","4500","MIA@PIT","MIA","PIT","","","",""
"17517-25554","RB","Nikita","","Whitlock","0","14","4500","NYG@GB","NYG","GB","O","Suspension","",""
"17517-14292","TE","Jordan","","Cameron","5.333333333333333","3","4500","MIA@PIT","MIA","PIT","IR","Concussion","",""
"17517-31703","RB","Malcolm","","Johnson","1.0199999809265137","5","4500","DET@SEA","SEA","DET","","","",""
"17517-28126","TE","Paul","","Lang","0","0","4500","MIA@PIT","PIT","MIA","","","",""
"17517-11999","WR","Victor","","Cruz","5.864285605294364","14","4500","NYG@GB","NYG","GB","","","",""
"17517-21984","RB","Isaiah","","Pead","1.649999976158142","2","4500","MIA@PIT","MIA","PIT","","","",""
"17517-7394","TE","Brandon","","Pettigrew","2.3142858232770647","7","4500","DET@SEA","DET","SEA","","","",""
"17517-72676","RB","Troymaine","","Pope","1.350000023841858","4","4500","DET@SEA","SEA","DET","IR","Ankle","",""
"17517-7918","TE","Matthew","","Mulligan","1.2999999523162842","1","4500","DET@SEA","DET","SEA","","","",""
"17517-40430","WR","Demarcus","","Ayers","6.550000190734863","2","4500","MIA@PIT","PIT","MIA","","","",""
"17517-11504","WR","Andre","","Roberts","2.612499952316284","16","4500","DET@SEA","DET","SEA","Q","Shoulder","",""
"17517-43504","RB","Don","","Jackson","1.0666666825612385","3","4500","NYG@GB","GB","NYG","IR","Knee","",""
"17517-30968","RB","Eddie","","Lacy","8.15999984741211","5","4500","NYG@GB","GB","NYG","IR","Ankle","",""
"17517-38651","TE","Beau","","Sandland","0","0","4500","NYG@GB","GB","NYG","","","",""
"17517-6910","K","Robbie","","Gould","5.4","10","4500","NYG@GB","NYG","GB","","","",""
"17517-12543","D","New York","","Giants","8.9375","16","4400","NYG@GB","NYG","GB","","","",""
"17517-12532","D","Detroit","","Lions","5.375","16","4300","DET@SEA","DET","SEA","","","",""
"17517-12539","D","Miami","","Dolphins","7.5","16","4100","MIA@PIT","MIA","PIT","","","",""
