Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17431-33733,WR,Xavier,,Rush,0,0,4500,DAL@PHI,PHI,DAL,,
17431-43973,RB,Keith,,Smith,1,4,4500,DAL@PHI,DAL,PHI,,
17431-30667,TE,Justice,,Cunningham,0,2,4500,ARI@LA,LA,ARI,,
17431-29645,RB,Javorius,,Allen,2.13333336512248,3,4500,BAL@CIN,BAL,CIN,,
17431-14288,WR,Torrey,,Smith,4.55833339691162,12,4500,SEA@SF,SF,SEA,IR,Concussion
17431-40913,TE,Thomas,,Duarte,0,0,4500,NE@MIA,MIA,NE,,
17431-25554,RB,Nikita,,Whitlock,0,14,4500,NYG@WAS,NYG,WAS,O,Suspension
17431-14292,TE,Jordan,,Cameron,5.33333333333333,3,4500,NE@MIA,MIA,NE,IR,Concussion
17431-30678,WR,Damiere,,Byrd,0,0,4500,CAR@TB,CAR,TB,,
17431-29655,RB,Soma,,Vainuku,0,0,4500,HOU@TEN,HOU,TEN,,
17431-31703,RB,Malcolm,,Johnson,1.01999998092651,5,4500,SEA@SF,SEA,SF,,
17431-14297,WR,Greg,,Salas,8.44999980926514,2,4500,BUF@NYJ,BUF,NYJ,,
17431-30684,RB,Brandon,,Wilds,0.899999976158142,2,4500,BUF@NYJ,NYJ,BUF,,
17431-14304,TE,Luke,,Stocker,0.839999961853027,5,4500,CAR@TB,TB,CAR,,
17431-14305,RB,Roy,,Helu Jr.,2.73749995231628,8,4500,OAK@DEN,OAK,DEN,,
17431-14307,WR,Cecil,,Shorts III,2.95714296613421,7,4500,CAR@TB,TB,CAR,IR,Knee
17431-40932,WR,Pharoh,,Cooper,1.5,8,4500,ARI@LA,LA,ARI,,
17431-72676,RB,Troymaine,,Pope,1.35000002384186,4,4500,SEA@SF,SEA,SF,IR,Ankle
17431-26598,WR,Nelson,,Spruce,0,0,4500,ARI@LA,LA,ARI,IR,Calf
17431-29672,RB,Silas,,Redd Jr.,0,0,4500,NYG@WAS,WAS,NYG,O,Suspension
17431-14319,RB,Taiwan,,Jones,0.785714285714286,7,4500,OAK@DEN,OAK,DEN,,
17431-26610,WR,Paul,,Richardson,3.57272720336914,11,4500,SEA@SF,SEA,SF,,
17431-14327,RB,Anthony,,Sherman,0.480000019073486,5,4500,KC@SD,KC,SD,,
17431-24569,K,Chandler,,Catanzaro,6.86666666666667,15,4500,ARI@LA,ARI,LA,,
17431-12528,D,Cincinnati,,Bengals,5.8,15,4400,BAL@CIN,CIN,BAL,,
17431-12537,D,Oakland,,Raiders,6.33333333333333,15,4400,OAK@DEN,OAK,DEN,,
17431-12538,D,Los Angeles,,Rams,6,15,4400,ARI@LA,LA,ARI,,
17431-12527,D,Chicago,,Bears,5.8,15,4300,CHI@MIN,CHI,MIN,,
